ID	BEDS	BATHS	SQFT	YEAR	LAST_SALE_PRICE	URL	LATITUDE	LONGITUDE	ELEMENTARY	MIDDLE	HIGH	HOME_TYPE	REMODELED	IRATING	ERATING	ADDRESS	CITY	STATE	ZIP_CODE	LOT_SIZE	LAST_SALE_DATE	IMAGE_URL
228	0	1	473	49	319000	http://www.redfin.com/CA/San-Mateo/833-N-Humboldt-St-94401/unit-319/home/17308527	37.580692	-122.331261	9	8	8	2	0	2.5	3	833 N Humboldt St Apt 319	San Mateo	CA	94401		7/21/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
229	3	2	1730	76	1000000	http://www.redfin.com/CA/San-Mateo/446-27th-Ave-94403/home/1983386	37.538994	-122.312607	9	8	8	1	0	2.5	0	446 27TH Ave	San Mateo	CA	94403	5520	7/21/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
231	3	2.5	1750	75	1325000	http://www.redfin.com/CA/San-Mateo/1021-Alameda-De-Las-Pulgas-94402/home/713843	37.550861	-122.326729	9	8	8	1	0	4	3.5	1021 ALAMEDA DE LAS PULGAS	San Mateo	CA	94402	6050	8/14/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
232	2	1	1110	66	1150000	http://www.redfin.com/CA/Belmont/1722-Hillman-Ave-94002/home/1716971	37.526039	-122.293053	10	8	8	1	0	3	0	1722 Hillman Ave	Belmont	CA	94002		7/24/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
233	4	2	1800	63	978000	http://www.redfin.com/CA/San-Mateo/1556-Cottage-Grove-Ave-94401/home/1966834	37.568859	-122.30471	9	8	8	1	0	3	3.5	1556 Cottage Grove Ave	San Mateo	CA	94401		7/22/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
234	4	4.5	3400	61	2471000	http://www.redfin.com/CA/San-Mateo/436-Cornell-Ave-94402/home/1532807	37.556995	-122.334381	9	8	8	1	0	4	4.5	436 CORNELL Ave	San Mateo	CA	94402	8900	7/16/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
235	4	3.5	2910	77	2225000	http://www.redfin.com/CA/San-Mateo/531-Warren-Rd-94402/home/692559	37.567207	-122.349342	9	8	8	1	0	3	4	531 Warren Rd	San Mateo	CA	94402		8/1/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
236	3	1	1200	61	735000	http://www.redfin.com/CA/San-Mateo/1432-Norton-St-94401/home/719804	37.561974	-122.303551	9	8	8	1	1	3	3.5	1432 NORTON St	San Mateo	CA	94401	6350	7/27/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
237	1	1	693	49	456000	http://www.redfin.com/CA/San-Mateo/930-Peninsula-Ave-94401/unit-204/home/17308311	37.580692	-122.331261	9	8	8	2	0	3.5	0	930 Peninsula Ave Apt 204	San Mateo	CA	94401		7/25/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
238	4	2.5	2270	43	1260000	http://www.redfin.com/CA/Belmont/2008-Forest-Ave-94002/home/1734626	37.52354	-122.301247	5	8	4	1	0	3	4	2008 Forest Ave	Belmont	CA	94002		8/12/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
239	2	2	1204	49	660000	http://www.redfin.com/CA/San-Mateo/817-N-Humboldt-St-94401/unit-309/home/17308060	37.580692	-122.331261	9	8	8	2	0	3	0	817 N Humboldt St Apt 309	San Mateo	CA	94401		7/29/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
240	2	2	1290	73	960000	http://www.redfin.com/CA/San-Mateo/126-Burbank-Ave-94403/home/755555	37.529827	-122.294891	9	8	8	1	0	3.5	4	126 Burbank Ave	San Mateo	CA	94403		8/6/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
241	3	1	1640	88	988000	http://www.redfin.com/CA/San-Mateo/29-16th-Ave-94402/home/1339956	37.554146	-122.314568	9	8	8	1	0	0.5	0	29 16th Ave	San Mateo	CA	94402		8/15/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
242	3	2	2180	66	1701500	http://www.redfin.com/CA/Burlingame/29-Dwight-Rd-94010/home/1369017	37.581093	-122.335815	8	8	8	1	0	3.5	0	29 Dwight Rd	Burlingame	CA	94010		8/15/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
243	3	1	1140	67	665000	http://www.redfin.com/CA/San-Mateo/131-Prague-St-94401/home/1880707	37.57909	-122.315186	9	8	8	1	0	2.5	0	131 PRAGUE St	San Mateo	CA	94401	4750	8/5/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
244	3	2	1500	65	745000	http://www.redfin.com/CA/San-Mateo/800-Fallon-Ave-94401/home/1522023	37.570999	-122.305862	9	8	8	1	0	3	3.5	800 Fallon Ave	San Mateo	CA	94401		8/11/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
245	4	2	1930	60	1525000	http://www.redfin.com/CA/San-Mateo/3423-Del-Monte-St-94403/home/742196	37.528919	-122.313583	9	8	8	1	0	4.5	0	3423 Del Monte St	San Mateo	CA	94403		7/29/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
246	3	2	1800	61	1257000	http://www.redfin.com/CA/San-Mateo/1335-Bel-Aire-Rd-94402/home/1047566	37.533684	-122.344574	9	8	8	1	0	4	0	1335 Bel Aire Rd	San Mateo	CA	94402		8/18/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
247	2	2	1190	70	800000	http://www.redfin.com/CA/San-Mateo/3803-Colegrove-St-94403/home/1171939	37.532848	-122.295517	9	8	5	1	0	4	3.5	3803 COLEGROVE St	San Mateo	CA	94403	5300	7/14/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
249	1	1	693	49	450000	http://www.redfin.com/CA/San-Mateo/814-N-Delaware-St-94401/unit-209/home/12529343	37.563377	-122.316383	9	8	4	2	0	3	0	814 N DELAWARE St unit 209	San Mateo	CA	94401	1114920	9/10/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
251	3	2	1400	108	540000	http://www.redfin.com/CA/San-Mateo/29-N-Delaware-St-94401/home/1987443	37.570286	-122.323929	9	8	8	1	0	1	0	29 N DELAWARE St	San Mateo	CA	94401	4107	8/5/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
254	1	1	1128	36	369000	http://www.redfin.com/CA/San-Mateo/50-N-San-Mateo-Dr-94401/unit-222/home/1473380	37.568195	-122.327148	9	8	5	2	0	3	0	50 N San Mateo Dr Apt 222	San Mateo	CA	94401		8/11/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
255	0	1	504	49	340000	http://www.redfin.com/CA/San-Mateo/814-N-Delaware-St-94401/unit-302/home/17308728	37.563377	-122.316383	9	8	8	2	0	3	0	814 N Delaware St Apt 302	San Mateo	CA	94401		8/5/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
257	2	1	1040	61	875000	http://www.redfin.com/CA/San-Mateo/321-36th-Ave-94403/home/1991459	37.531067	-122.304382	9	8	8	1	0	2.5	4	321 36th Ave	San Mateo	CA	94403		8/7/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
258	3	2	1540	54	949000	http://www.redfin.com/CA/San-Mateo/3298-Los-Prados-St-94403/home/1987713	37.541382	-122.279167	9	8	8	1	0	3.5	3.5	3298 Los Prados St	San Mateo	CA	94403		8/12/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
259	3	2	1460	60	1170000	http://www.redfin.com/CA/Belmont/1906-Bayview-Ave-94002/home/1979225	37.525021	-122.297661	10	8	8	1	0	3.5	3.5	1906 BAYVIEW Ave	Belmont	CA	94002	4000	8/7/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
260	3	2.5	1750	33	903000	http://www.redfin.com/CA/San-Mateo/119-E-Santa-Inez-Ave-94401/unit-1/home/1628123	37.570766	-122.331696	9	8	8	2	0	3	0	119 E SANTA INEZ Ave	San Mateo	CA	94401	8012	7/29/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
261	2	1	740	30	380000	http://www.redfin.com/CA/San-Mateo/711-S-Bayshore-Blvd-94401/unit-8/home/1447432	37.568439	-122.310371	9	8	8	2	0	2.5	0	711 S Bayshore Blvd Apt 8	San Mateo	CA	94401		7/30/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
262	3	2	1300	59	850000	http://www.redfin.com/CA/San-Mateo/2079-Polk-Ave-94403/home/1897350	37.56506	-122.294586	9	8	8	1	1	3.5	3.5	2079 POLK Ave	San Mateo	CA	94403	6000	7/31/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
263	6	3	3090	29	1450000	http://www.redfin.com/CA/San-Mateo/124-Woodbridge-Cir-94403/home/1200784	37.532207	-122.279564	10	8	8	1	0	3.5	4	124 Woodbridge Cir	San Mateo	CA	94403		8/4/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
264	2	2	1410	89	1302500	http://www.redfin.com/CA/San-Mateo/140-13th-Ave-94402/home/2053186	37.557014	-122.314659	9	8	4	1	0	3	3.5	140 13th Ave	San Mateo	CA	94402		7/23/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
265	4	2	1590	65	828000	http://www.redfin.com/CA/San-Mateo/701-S-Norfolk-St-94401/home/1615217	37.570549	-122.308113	9	8	8	1	0	3	0	701 S NORFOLK St	San Mateo	CA	94401	5800	7/11/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
267	3	2	1650	60	985000	http://www.redfin.com/CA/San-Mateo/2017-Ginnever-St-94403/home/1047425	37.550766	-122.301941	9	8	8	1	0	3	3	2017 Ginnever St	San Mateo	CA	94403		8/20/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
268	2	2	1819	32	820000	http://www.redfin.com/CA/San-Mateo/35-9th-Ave-94401/unit-2/home/976502	37.560326	-122.3209	9	8	8	2	0	4	0	35 9TH Ave unit 2	San Mateo	CA	94401	21316	8/7/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
269	3	1	1140	67	671000	http://www.redfin.com/CA/San-Mateo/307-N-Idaho-St-94401/home/702809	37.576965	-122.322899	9	8	5	1	0	3	0	307 N Idaho St	San Mateo	CA	94401		8/8/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
270	1	1	841	34	457000	http://www.redfin.com/CA/San-Mateo/114-24th-Ave-94403/unit-3/home/1216743	37.544621	-122.308289	9	8	8	2	0	3	0	114 24TH Ave unit 3	San Mateo	CA	94403	13507	7/23/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
271	2	2.5	1254	14	800000	http://www.redfin.com/CA/San-Mateo/1027-Yates-Way-94403/unit-5614/home/1004834	37.545998	-122.294205	9	8	5	2	0	3	0	1027 Yates Way unit 5614	San Mateo	CA	94403		8/25/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
272	2	2	1459	33	675000	http://www.redfin.com/CA/San-Mateo/425-N-El-Camino-Real-94401/unit-101/home/1500420	37.570084	-122.336441	9	8	8	2	0	2.5	0	425 N El Camino Real Apt 101	San Mateo	CA	94401		8/12/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
273	3	2	1330	58	880000	http://www.redfin.com/CA/San-Mateo/2234-Salisbury-Way-94403/home/1182159	37.548386	-122.294983	9	8	8	1	0	2.5	0	2234 Salisbury Way	San Mateo	CA	94403		8/13/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
274	2	2	1020	32	410000	http://www.redfin.com/CA/San-Mateo/240-N-Bayshore-Blvd-94401/unit-213/home/1235236	37.577988	-122.32029	9	8	8	2	0	2.5	0	240 N BAYSHORE Blvd unit 213	San Mateo	CA	94401	63584	8/7/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
275	0	1	390	31	220000	http://www.redfin.com/CA/San-Mateo/324-Catalpa-St-94401/unit-218/home/1888480	37.569878	-122.326714	9	8	8	2	0	2.5	0	324 CATALPA St unit 218	San Mateo	CA	94401	27645	7/14/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
276	2	2.5	1555	35	838000	http://www.redfin.com/CA/San-Mateo/1167-Shoreline-Dr-94404/unit-19-2-5/home/977048	37.556931	-122.289413	9	8	8	2	0	3	0	1167 SHORELINE Dr	San Mateo	CA	94404	109700	7/24/14	http://110.mlsimages.movoto.com/042/424942_4.jpg
