HITID	URL	image1	address	LISTING_ID	Worker	Answer	Date
3B9XR6P1WEVOP6CAMV3OVZ6BCERBJN	http://www.movoto.com/cupertino-ca/10485-byrne-ave-cupertino-ca-95014-100_81418377/	http://100.mlsimages.movoto.com/077/81418377_0.jpg	10485 Byrne Ave	cupertino	A2XFGTPDO4KQ2B	5 Star - Top 20%	Thu Nov 13 22:39:43 UTC 2014
3S1WOPCJFGTMW9OUWM5EW7CWFB4EJQ	http://www.movoto.com/cupertino-ca/21869-woodbury-dr-cupertino-ca-95014-100_81420549/	http://100.mlsimages.movoto.com/049/81420549_0.jpg	21869 Woodbury Dr	cupertino	A2XFGTPDO4KQ2B	5 Star - Top 20%	Thu Nov 13 22:39:31 UTC 2014
3ZRKL6Z1E83DFQ3BPB4GOBOVOAVSG0	http://www.movoto.com/sunnyvale-ca/587-kiholo-ter-sunnyvale-ca-94089-100_81411650/	http://100.mlsimages.movoto.com/050/81411650_0.jpg	587 Kiholo TER	sunnyvale	A2XFGTPDO4KQ2B	5 Star - Top 20%	Thu Nov 13 22:37:25 UTC 2014
38O9DZ0A62NIDYX7JJGOL2Y2W2U62A	http://www.movoto.com/sunnyvale-ca/1081-sargent-dr-sunnyvale-ca-94087-100_81409687/	http://100.mlsimages.movoto.com/087/81409687_0.jpg	1081 Sargent Dr	sunnyvale	AN3KR7C1SLYY3	5 Star - Top 20%	Thu Nov 13 22:45:46 UTC 2014
36MUZ9VAE629TNO2MQJ3T9HJAR7EDC	http://www.movoto.com/sunnyvale-ca/1288-albion-ln-sunnyvale-ca-94087-100_81414442/	http://100.mlsimages.movoto.com/042/81414442_0.jpg	1288 Albion Ln	sunnyvale	A2V3P1XE33NYC3	5 Star - Top 20%	Thu Nov 13 22:44:16 UTC 2014
3M67TQBQQHOU0KU9U5CFBU82YRTA9V	http://www.movoto.com/sunnyvale-ca/885-helena-dr-sunnyvale-ca-94087-100_81430866/	http://100.mlsimages.movoto.com/066/81430866_0.jpg	885 Helena Dr	sunnyvale	A1QSV6T2K6P8NU	5 Star - Top 20%	Thu Nov 13 23:26:05 UTC 2014
3PEG1BH7AERJ0QIS4G30WE6OR3QKBU	http://www.movoto.com/sunnyvale-ca/880-e-fremont-ave-105-sunnyvale-ca-94087-100_81342505/	http://100.mlsimages.movoto.com/005/81342505_0.jpg	880 E Fremont Ave #105	sunnyvale	A1QSV6T2K6P8NU	5 Star - Top 20%	Thu Nov 13 23:27:08 UTC 2014
3JAOYN9IHL281X684HWVX9RASPS33C	http://www.movoto.com/sunnyvale-ca/963-s-wolfe-rd-sunnyvale-ca-94086-100_81341388/	http://100.mlsimages.movoto.com/088/81341388_0.jpg	963 S Wolfe Rd	sunnyvale	A1QSV6T2K6P8NU	NA - no interior pics	Thu Nov 13 23:28:05 UTC 2014
3L60IFZKF3I2PDK6YNAZ5XTUUZRHH3	http://www.movoto.com/cupertino-ca/22156-rae-ln-cupertino-ca-95014-100_81410504/	http://100.mlsimages.movoto.com/004/81410504_0.jpg	22156 Rae Ln	cupertino	A2P6VK1US8OTC5	5 Star - Top 20%	Thu Nov 13 23:41:19 UTC 2014
39AYGO6AFFKE2KM052E8DQ107XKN6H	http://www.movoto.com/sunnyvale-ca/1458-ormsby-dr-sunnyvale-ca-94087-100_81339193/	http://100.mlsimages.movoto.com/093/81339193_0.jpg	1458 Ormsby Dr	sunnyvale	A1GKEEI844CEKI	5 Star - Top 20%	Fri Nov 14 00:07:31 UTC 2014
3WJGKMRWVI9UWP4OQZD83LHGPFTCDG	http://www.movoto.com/sunnyvale-ca/902-w-cardinal-dr-sunnyvale-ca-94087-100_81436594/	http://100.mlsimages.movoto.com/094/81436594_0.jpg	902 W Cardinal Dr	sunnyvale	A1GKEEI844CEKI	5 Star - Top 20%	Fri Nov 14 00:11:02 UTC 2014
3BFF0DJK8XCHKVPH9B3NNU3KE43ST9	http://www.movoto.com/cupertino-ca/937-brookgrove-ln-cupertino-ca-95014-100_81419630/	http://100.mlsimages.movoto.com/030/81419630_0.jpg	937 Brookgrove Ln	cupertino	A1GKEEI844CEKI	5 Star - Top 20%	Fri Nov 14 00:13:31 UTC 2014
