SALE TYPE	HOME TYPE	ADDRESS	CITY	STATE	ZIP	LIST PRICE	BEDS	BATHS	LOCATION	SQFT	LOT SIZE	YEAR BUILT	PARKING SPOTS	PARKING TYPE	DAYS ON MARKET	STATUS	NEXT OPEN HOUSE DATE	NEXT OPEN HOUSE START TIME	NEXT OPEN HOUSE END TIME	RECENT REDUCTION DATE	ORIGINAL LIST PRICE	LAST SALE DATE	LAST SALE PRICE	URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING)	SOURCE	LISTING ID	ORIGINAL SOURCE	FAVORITE	INTERESTED	LATITUDE	LONGITUDE	IS SHORT SALE
Past Sale	Condo/Coop	211 S FREMONT St #305	San Mateo	CA	94401	292880	1	1	GATEWAY	794	106122	1989	1	Garage		Sold					292880	9/23/14	292880	http://www.redfin.com/CA/San-Mateo/211-S-Fremont-St-94401/unit-305/home/1872781	MLSListings Inc. (MLSLI)	81434723	Today Sothebys International Realty	N	Y	37.569206	-122.318405	FALSE
Past Sale	Single Family Residential	1683 ELEANOR Dr	San Mateo	CA	94402	949888	3	2	San Mateo	1400	5000	1955	1	Garage		Sold					949888	9/23/14	1067000	http://www.redfin.com/CA/San-Mateo/1683-Eleanor-Dr-94402/home/1849271	MLSListings Inc. (MLSLI)	81433270	Rimma Realty	N	Y	37.555744	-122.306503	FALSE
Past Sale	Condo/Coop	425 N EL CAMINO REAL #208	San Mateo	CA	94401	639500	2	2	San Mateo	1380	39442	1981				Sold					639500	9/23/14	710000	http://www.redfin.com/CA/San-Mateo/425-N-El-Camino-Real-94401/unit-208/home/1811392	MLSListings Inc. (MLSLI)	81432839	Intero Real Estate Services-Woodside	N	Y	37.570084	-122.336441	FALSE
Past Sale	Condo/Coop	555 LAUREL Ave #407	San Mateo	CA	94401	949000	2	2	San Mateo	1786	92393	1980	1	Garage		Sold					949000	9/19/14	1010000	http://www.redfin.com/CA/San-Mateo/555-Laurel-Ave-94401/unit-407/home/979188	MLSListings Inc. (MLSLI)	81432082	Realty World Thompson Properties	N	Y	37.563381	-122.321182	FALSE
Past Sale	Single Family Residential	647 VANESSA Dr	San Mateo	CA	94402	888000	3	2	San Mateo	1400	5005	1955	1	Garage		Sold					888000	9/19/14	1130000	http://www.redfin.com/CA/San-Mateo/647-Vanessa-Dr-94402/home/1716172	MLSListings Inc. (MLSLI)	81433396	Realty World-Champions	N	Y	37.557613	-122.306366	FALSE
Past Sale	Single Family Residential	903 E 16TH Ave	San Mateo	CA	94402	889000	3	1	San Mateo	1170	4500	1947				Sold					889000	9/19/14	965000	http://www.redfin.com/CA/San-Mateo/903-E-16th-Ave-94402/home/1814989	MLSListings Inc. (MLSLI)	81432443	Alain Pinel Realtors	N	Y	37.560123	-122.30558	FALSE
Past Sale	Single Family Residential	602 BRIDGEPORT Ln	Foster City	CA	94404	1450000	3	2.5	Foster City	1940	4560	1977	1	Garage		Sold				9/17/14	1580000	9/18/14	1430000	http://www.redfin.com/CA/Foster-City/602-Bridgeport-Ln-94404/home/1785804	MLSListings Inc. (MLSLI)	81431525	Today Sothebys International Realty	N	Y	37.545898	-122.269211	FALSE
Past Sale	Condo/Coop	222 8TH Ave #200	San Mateo	CA	94401	899000	2	2	San Mateo	1293	51834	2006	1	Garage		Sold					899000	9/17/14	925000	http://www.redfin.com/CA/San-Mateo/222-8th-Ave-94401/unit-200/home/2100477	MLSListings Inc. (MLSLI)	81432308	Intero Real Estate Services	N	Y	37.561667	-122.318908	FALSE
Past Sale	Condo/Coop	636 PORTOFINO Ln	Foster City	CA	94404	825000	2	2	Foster City	1395	224919	1975	1	Garage		Sold					825000	9/16/14	840000	http://www.redfin.com/CA/Foster-City/636-Portofino-Ln-94404/unit-31-B/home/1235006	MLSListings Inc. (MLSLI)	81432431	Prudential California Realty	N	Y	37.552361	-122.272011	FALSE
Past Sale	Single Family Residential	1020 FIESTA Dr	San Mateo	CA	94403	925000	3	2	Fiesta Gardens	1280	5000	1954				Sold					925000	9/16/14	1000000	http://www.redfin.com/CA/San-Mateo/1020-Fiesta-Dr-94403/home/1283644	MLSListings Inc. (MLSLI)	81433505	RE/MAX Star Properties	N	Y	37.549232	-122.298515	FALSE
Past Sale	Single Family Residential	381 Beach Park Blvd	Foster City	CA	94404	1298000	4	3	Foster City	1960	5700	1969	2	Garage		Sold					1298000	9/15/14	1400000	http://www.redfin.com/CA/Foster-City/381-Beach-Park-Blvd-94404/home/938118/sfarmls-424059	San Francisco Association of Realtors (SFARMLS)	424059	"Realty Executives, Real Time"	N	Y	37.54491	-122.274933	FALSE
Past Sale	Single Family Residential	407 NEVADA Ave	San Mateo	CA	94402	2195000	4	4.5	San Mateo	3720	10010	1934	1	Garage		Sold					2195000	9/15/14	2550000	http://www.redfin.com/CA/San-Mateo/407-Nevada-Ave-94402/home/708521	MLSListings Inc. (MLSLI)	81432375	Alain Pinel Realtors	N	Y	37.555099	-122.329277	FALSE
Past Sale	Condo/Coop	800 SEA SPRAY Ln #114	Foster City	CA	94404	468000	1	1	Foster City	953	40742	1984				Sold					468000	9/15/14	488000	http://www.redfin.com/CA/Foster-City/800-Sea-Spray-Ln-94404/unit-114/home/1969397	MLSListings Inc. (MLSLI)	81431719	Coldwell Banker	N	Y	37.55283	-122.280625	FALSE
Past Sale	Single Family Residential	40 VERBALEE Ln	Hillsborough	CA	94010	23888000	12	13.5	Hillsborough	35000	257352	1932	1	Garage		Sold					23888000	9/12/14	2.28E+07	http://www.redfin.com/CA/Hillsborough/40-Verbalee-Ln-94010/home/1914990	MLSListings Inc. (MLSLI)	81433188	Today Sothebys International Realty	N	Y	37.543365	-122.338531	FALSE
Past Sale	Single Family Residential	345 ARAGON Blvd	San Mateo	CA	94402	2398000	4	3	Sub #5 Aragon	3134	6600	1939	1	Garage		Sold					2398000	9/13/14	2825000	http://www.redfin.com/CA/San-Mateo/345-Aragon-Blvd-94402/home/2053181	MLSListings Inc. (MLSLI)	81432102	Coldwell Banker-Menlo Park-El Camino	N	Y	37.553146	-122.325821	FALSE
Past Sale	Townhouse	1919 ALAMEDA DE LAS PULGAS #29	San Mateo	CA	94403	549000	2	2	The Gardens	1024	107051	1974	1	Garage		Sold					549000	9/14/14	620000	http://www.redfin.com/CA/San-Mateo/1919-Alameda-De-Las-Pulgas-94403/unit-29/home/1917751	MLSListings Inc. (MLSLI)	81432285	Today Sothebys International Realty	N	Y	37.54665	-122.320091	FALSE
Past Sale	Condo/Coop	1919 ALAMEDA DE LAS PULGAS #108	San Mateo	CA	94403	407000	1	1	San Mateo	692	131328	1974				Sold					407000	9/9/14	435000	http://www.redfin.com/CA/San-Mateo/1919-Alameda-De-Las-Pulgas-94403/unit-108/home/2058387	MLSListings Inc. (MLSLI)	81431389	Keller Williams San Carlos	N	Y	37.54665	-122.320091	FALSE
Past Sale	Single Family Residential	1745 CELESTE Dr	San Mateo	CA	94402	899000	4	2	San Mateo	1540	5049	1956				Sold					899000	9/12/14	950000	http://www.redfin.com/CA/San-Mateo/1745-Celeste-Dr-94402/home/721630	MLSListings Inc. (MLSLI)	81433205	Coldwell Banker	N	Y	37.55574	-122.303787	FALSE
Past Sale	Condo/Coop	831 BALBOA Ln	Foster City	CA	94404	798000	2	2	Foster City	1490	305463	1975	1	Garage		Sold				8/14/14	810000	9/12/14	798000	http://www.redfin.com/CA/Foster-City/831-Balboa-Ln-94404/unit-10/home/1965457	MLSListings Inc. (MLSLI)	81423342	Realty World-Advance Group	N	Y	37.552822	-122.270836	FALSE
