SALE TYPE	HOME TYPE	ADDRESS	CITY	STATE	ZIP	BEDS
Past Sale	Single Family Residential	809 E 16th Ave	San Mateo	CA	94402	3
Past Sale	Single Family Residential	612 CARIBBEAN Way	San Mateo	CA	94402	4
Past Sale	Townhouse	801 VESPUCCI Ln	Foster City	CA	94404	3
Past Sale	Single Family Residential	612 Fordham Rd	San Mateo	CA	94402	3
Past Sale	Single Family Residential	1899 Edinburgh St	San Mateo	CA	94403	2
Past Sale	Condo/Coop	711 S Bayshore Blvd Apt 16	San Mateo	CA	94401	2
Past Sale	Townhouse	802 Centaurus Ln	Foster City	CA	94404	3
Past Sale	Condo/Coop	1017 Shell Blvd Apt 8	Foster City	CA	94404	3
Past Sale	Single Family Residential	520 FATHOM Dr	San Mateo	CA	94404	2
Past Sale	Condo/Coop	1555 Marina Ct #17	San Mateo	CA	94403	3
Past Sale	Single Family Residential	126 12TH Ave	San Mateo	CA	94402	3
Past Sale	Single Family Residential	115 SEVILLE Way	San Mateo	CA	94402	3
Past Sale	Condo/Coop	859 Balboa Ln #23	Foster City	CA	94404	2
Past Sale	Single Family Residential	1326 Ashwood Ct	San Mateo	CA	94402	3
Past Sale	Single Family Residential	806 W Grant Pl	San Mateo	CA	94402	3
Past Sale	Single Family Residential	513 Iowa Dr	San Mateo	CA	94402	3
Past Sale	Single Family Residential	18 N ELDORADO St	San Mateo	CA	94401	3
Past Sale	Condo/Coop	868 WHARFSIDE Rd	San Mateo	CA	94404	2
Past Sale	Condo/Coop	688 MARINERS ISLAND Blvd #204	San Mateo	CA	94404	1
Past Sale	Single Family Residential	1068 Fiesta Dr	San Mateo	CA	94403	3
Past Sale	Condo/Coop	1919 Alameda De Las Pulgas Apt 51	San Mateo	CA	94403	1
Past Sale	Single Family Residential	838 Parrott Dr	San Mateo	CA	94402	3
Past Sale	Single Family Residential	112 BARKENTINE St	Foster City	CA	94404	4
Past Sale	Single Family Residential	862 W GRANT Pl	San Mateo	CA	94402	2
Past Sale	Condo/Coop	1525 DAY Ave Unit B	San Mateo	CA	94403	3
Past Sale	Single Family Residential	816 Patricia Ave	San Mateo	CA	94401	3
Past Sale	Townhouse	1051 Yates Way	San Mateo	CA	94403	3
Past Sale	Single Family Residential	717 Ocean View Ave	San Mateo	CA	94401	3
Past Sale	Condo/Coop	1919 ALAMEDA DE LAS PULGAS #61	San Mateo	CA	94403	2
Past Sale	Single Family Residential	2318 FLORES St	San Mateo	CA	94403	5
Past Sale	Townhouse	829 Perseus Ln	Foster City	CA	94404	2
Past Sale	Single Family Residential	50 Hayward Ave	San Mateo	CA	94401	3
Past Sale	Single Family Residential	518 PARROTT Dr	San Mateo	CA	94402	4
Past Sale	Condo/Coop	222 8TH Ave #214	San Mateo	CA	94401	2
Past Sale	Condo/Coop	1173 SHORELINE Dr	San Mateo	CA	94404	3
Past Sale	Condo/Coop	711 S BAYSHORE Blvd #2	San Mateo	CA	94401	1
Past Sale	Single Family Residential	37 MISSION Dr	San Mateo	CA	94402	3
Past Sale	Condo/Coop	914 BEACH PARK Blvd #79	Foster City	CA	94404	2
Past Sale	Condo/Coop	875 Balboa Ln #25	Foster City	CA	94404	2
Past Sale	Single Family Residential	1206 S B St	San Mateo	CA	94402	5
Past Sale	Single Family Residential	32 Creekside Ln	San Mateo	CA	94401	3
Past Sale	Condo/Coop	10 CRYSTAL SPRINGS Rd #1203	San Mateo	CA	94402	2
Past Sale	Single Family Residential	526 Maple St	San Mateo	CA	94402	2
Past Sale	Condo/Coop	30 Mounds Rd Apt 203	San Mateo	CA	94402	1
Past Sale	Single Family Residential	3167 Los Prados St	San Mateo	CA	94403	4
Past Sale	Condo/Coop	920 Beach Park Blvd #37	Foster City	CA	94404	2
Past Sale	Single Family Residential	1521 CARLISLE Dr	San Mateo	CA	94402	3
Past Sale	Single Family Residential	1910 PALM Ave	San Mateo	CA	94403	2
Past Sale	Single Family Residential	1744 Washington St	San Mateo	CA	94403	3
Past Sale	Single Family Residential	1942 Palm Ave	San Mateo	CA	94403	3
Past Sale	Condo/Coop	1214 Admiralty Ln	Foster City	CA	94404	3
Past Sale	Condo/Coop	465 FATHOM Dr #106	San Mateo	CA	94404	1
Past Sale	Condo/Coop	857 Balboa Ln #24	Foster City	CA	94404	2
Past Sale	Single Family Residential	39 De Sabla Rd	San Mateo	CA	94402	5
Past Sale	Single Family Residential	36 Avila Rd	San Mateo	CA	94402	2
Past Sale	Condo/Coop	35 W 20th Ave Apt 312	San Mateo	CA	94403	2
Past Sale	Single Family Residential	1210 S Delaware St	San Mateo	CA	94402	3
Past Sale	Single Family Residential	672 FATHOM Dr	San Mateo	CA	94404	3
Past Sale	Single Family Residential	1221 Tilia St	San Mateo	CA	94402	3
Past Sale	Condo/Coop	1620 Vista Del Sol #8	San Mateo	CA	94404	2
Past Sale	Condo/Coop	1017 Shell Blvd Apt 2	Foster City	CA	94404	2
Past Sale	Single Family Residential	925 S Eldorado St	San Mateo	CA	94402	3
Past Sale	Condo/Coop	1128 Shoreline Dr Unit 15-3-10	San Mateo	CA	94404	1
Past Sale	Single Family Residential	1748 Hemlock Ave	San Mateo	CA	94401	3
Past Sale	Townhouse	735 Caravel Ln	Foster City	CA	94404	3
Past Sale	Condo/Coop	2001 ALAMEDA DE LAS PULGAS #166	San Mateo	CA	94403	3
Past Sale	Single Family Residential	59 BAYWOOD Ave	San Mateo	CA	94402	3
Past Sale	Condo/Coop	1615 Marina Ct #89	San Mateo	CA	94403	3
Past Sale	Condo/Coop	2201 Admiralty Ln	Foster City	CA	94404	3
Past Sale	Condo/Coop	815 SEA SPRAY Ln #109	Foster City	CA	94404	1
Past Sale	Single Family Residential	249 Curlew Ct	Foster City	CA	94404	4
Past Sale	Single Family Residential	2011 Sullivan St	San Mateo	CA	94403	3
Past Sale	Condo/Coop	465 Fathom Dr Apt 101	San Mateo	CA	94404	1
Past Sale	Condo/Coop	1705 Palm Ave Apt 3	San Mateo	CA	94402	1
Past Sale	Single Family Residential	74 Crystal Springs Rd	San Mateo	CA	94402	4
Past Sale	Townhouse	1452 Via Vis	San Mateo	CA	94404	2
Past Sale	Condo/Coop	601 Laurel Ave Apt 404	San Mateo	CA	94401	2
Past Sale	Condo/Coop	845 Balboa Ln #18	Foster City	CA	94404	3
Past Sale	Townhouse	889 Ursa Ln #6	Foster City	CA	94404	2
Past Sale	Single Family Residential	899 constitution Dr	Foster City	CA	94404	4
Past Sale	Single Family Residential	430 BEACH PARK Blvd	Foster City	CA	94404	4
Past Sale	Condo/Coop	700 PROMONTORY POINT Ln #1103	Foster City	CA	94404	3
Past Sale	Condo/Coop	1 Baldwin Ave Apt 412	San Mateo	CA	94401	1
Past Sale	Single Family Residential	727 Folkstone Ave	San Mateo	CA	94402	3
Past Sale	Single Family Residential	1744 Ivy St	San Mateo	CA	94402	2
Past Sale	Single Family Residential	1329 Cleveland Ave	San Mateo	CA	94403	3
Past Sale	Single Family Residential	143 11th Ave	San Mateo	CA	94401	3
Past Sale	Condo/Coop	320 Elm St Apt 305	San Mateo	CA	94401	1
Past Sale	Condo/Coop	50 MOUNDS Rd #509	San Mateo	CA	94402	2
Past Sale	Condo/Coop	601 Laurel Ave Apt 604	San Mateo	CA	94401	2
Past Sale	Condo/Coop	106 W 3rd Ave Apt 8	San Mateo	CA	94402	0
Past Sale	Single Family Residential	715 Tulane Ct	San Mateo	CA	94402	3
Past Sale	Condo/Coop	814 N Delaware St Apt 305	San Mateo	CA	94401	1
Past Sale	Condo/Coop	50 MOUNDS Rd #501	San Mateo	CA	94402	2
Past Sale	Condo/Coop	860 MERIDIAN BAY Ln #340	Foster City	CA	94404	2
