SALE TYPE	HOME TYPE	ADDRESS	CITY	STATE	ZIP	BEDS
Past Sale	Condo/Coop	910 BEACH PARK Blvd #108	Foster City	CA	94404	2
Past Sale	Single Family Residential	1502 COBB St	San Mateo	CA	94401	3
Past Sale	Single Family Residential	141 15th Ave	San Mateo	CA	94402	2
Past Sale	Condo/Coop	926 Beach Park Blvd #5	Foster City	CA	94404	2
Past Sale	Condo/Coop	821 Phoenix Ln #7	Foster City	CA	94404	2
Past Sale	Condo/Coop	894 WHARFSIDE Rd	San Mateo	CA	94404	1
Past Sale	Single Family Residential	1660 CELESTE Dr	San Mateo	CA	94402	4
Past Sale	Single Family Residential	1610 NOE Ave	San Mateo	CA	94401	3
Past Sale	Single Family Residential	1341 CLAUDIA Ave	San Mateo	CA	94403	3
Past Sale	Condo/Coop	601 LAUREL Ave #406	San Mateo	CA	94401	2
Past Sale	Single Family Residential	217 PUFFIN Ct	Foster City	CA	94404	5
Past Sale	Condo/Coop	632 PORTOFINO Ln	Foster City	CA	94404	2
Past Sale	Single Family Residential	2017 Ginnever St	San Mateo	CA	94403	3
Past Sale	Single Family Residential	718 S Grant St	San Mateo	CA	94402	3
Past Sale	Condo/Coop	601 LAUREL Ave #1006	San Mateo	CA	94401	2
Past Sale	Condo/Coop	1 BALDWIN Ave #204	San Mateo	CA	94401	2
Past Sale	Townhouse	119 E COURT Ln	Foster City	CA	94404	2
Past Sale	Townhouse	1211 Wayne Way	San Mateo	CA	94403	3
Past Sale	Single Family Residential	1305 S DELAWARE St	San Mateo	CA	94402	4
Past Sale	Condo/Coop	1919 ALAMEDA DE LAS PULGAS #75	San Mateo	CA	94403	1
Past Sale	Condo/Coop	802 BALBOA Ln	Foster City	CA	94404	2
Past Sale	Single Family Residential	553 ALHAMBRA Rd	San Mateo	CA	94402	3
Past Sale	Townhouse	823 COLUMBA Ln	Foster City	CA	94404	2
Past Sale	Condo/Coop	31 10TH Ave	San Mateo	CA	94401	2
Past Sale	Townhouse	779 Gemini Ln	Foster City	CA	94404	4
Past Sale	Condo/Coop	1570 Vista Del Sol #7	San Mateo	CA	94404	2
Past Sale	Single Family Residential	563 Starboard Dr	San Mateo	CA	94404	3
Past Sale	Single Family Residential	29 16th Ave	San Mateo	CA	94402	3
Past Sale	Condo/Coop	1 Baldwin Ave Apt 716	San Mateo	CA	94401	1
Past Sale	Single Family Residential	206 Seville Way	San Mateo	CA	94402	3
Past Sale	Condo/Coop	1 Baldwin Ave Apt 521	San Mateo	CA	94401	1
Past Sale	Condo/Coop	922 Beach Park Blvd Apt 27	Foster City	CA	94404	2
Past Sale	Condo/Coop	651 PORT Dr #303	San Mateo	CA	94404	1
Past Sale	Condo/Coop	3204 Admiralty Ln	Foster City	CA	94404	2
Past Sale	Single Family Residential	2234 Salisbury Way	San Mateo	CA	94403	3
Past Sale	Single Family Residential	1021 ALAMEDA DE LAS PULGAS	San Mateo	CA	94402	3
Past Sale	Single Family Residential	655 PARROTT Dr	San Mateo	CA	94402	3
Past Sale	Single Family Residential	1733 HAMLET St	San Mateo	CA	94403	3
Past Sale	Condo/Coop	1075 SHELL Blvd #5	Foster City	CA	94404	2
Past Sale	Single Family Residential	115 E Bellevue Ave	San Mateo	CA	94401	2
Past Sale	Single Family Residential	944 Aruba Ln	Foster City	CA	94404	4
Past Sale	Condo/Coop	425 N El Camino Real Apt 101	San Mateo	CA	94401	2
Past Sale	Single Family Residential	768 WIDGEON St	Foster City	CA	94404	4
Past Sale	Condo/Coop	1744 VISTA DEL SOL	San Mateo	CA	94404	3
Past Sale	Condo/Coop	615 PORT Dr #206	San Mateo	CA	94404	1
Past Sale	Single Family Residential	1201 S CLAREMONT St	San Mateo	CA	94402	3
Past Sale	Single Family Residential	37 BAYWOOD Ave	San Mateo	CA	94402	2
Past Sale	Condo/Coop	1 Baldwin Ave Apt 505	San Mateo	CA	94401	1
Past Sale	Single Family Residential	2057 Texas Way	San Mateo	CA	94403	3
Past Sale	Single Family Residential	648 CRANE Ave	Foster City	CA	94404	4
Past Sale	Condo/Coop	50 N San Mateo Dr Apt 222	San Mateo	CA	94401	1
Past Sale	Single Family Residential	800 Fallon Ave	San Mateo	CA	94401	3
Past Sale	Single Family Residential	2810 Hosmer St	San Mateo	CA	94063	3
Past Sale	Townhouse	372 N EL CAMINO REAL	San Mateo	CA	94401	3
Past Sale	Condo/Coop	153 N San Mateo Dr #206	San Mateo	CA	94401	3
Past Sale	Single Family Residential	926 BERMUDA Dr	San Mateo	CA	94403	3
Past Sale	Townhouse	2315 ARMADA Way	San Mateo	CA	94404	2
Past Sale	Single Family Residential	863 Comet Dr	Foster City	CA	94404	3
Past Sale	Condo/Coop	465 FATHOM Dr #321	San Mateo	CA	94404	1
Past Sale	Townhouse	385 Catamaran St	Foster City	CA	94404	2
Past Sale	Townhouse	30 E Court Ln	Foster City	CA	94404	2
Past Sale	Single Family Residential	44 W BELLEVUE Ave	San Mateo	CA	94402	6
Past Sale	Condo/Coop	35 9TH Ave #2	San Mateo	CA	94401	2
Past Sale	Single Family Residential	945 S Idaho St	San Mateo	CA	94402	1
Past Sale	Condo/Coop	1 BALDWIN Ave #911	San Mateo	CA	94401	2
Past Sale	Single Family Residential	1701 Dale Ave	San Mateo	CA	94401	3
Past Sale	Condo/Coop	814 N Delaware St Apt 302	San Mateo	CA	94401	0
Past Sale	Townhouse	1615 MARINA Ct Unit D	San Mateo	CA	94403	3
Past Sale	Single Family Residential	29 N DELAWARE St	San Mateo	CA	94401	3
Past Sale	Condo/Coop	860 MERIDIAN BAY Ln #142	Foster City	CA	94404	2
Past Sale	Condo/Coop	1919 ALAMEDA DE LAS PULGAS #123	San Mateo	CA	94403	1
Past Sale	Single Family Residential	437 WISNOM Ave	San Mateo	CA	94401	2
Past Sale	Condo/Coop	848 BALBOA Ln	Foster City	CA	94404	2
Past Sale	Townhouse	2001 Alameda De Las Pulgas #176	San Mateo	CA	94403	3
Past Sale	Condo/Coop	815 SEA SPRAY Ln #302	Foster City	CA	94404	2
Past Sale	Single Family Residential	1200 Birch Ave	San Mateo	CA	94402	3
